,FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD,Element Type,Datetime,Seconds Since Start,d 15N/14N_corr,d 15N/14N_se,d 13C/12C_corr,d 13C/12C_se
718,22811_d15N-d13C_MJS-24-008_Sedge; leaf (B3)-0000.dxf,11/22/2024,14:34:14,92,Sample,MJS-24-008_Sedge; leaf (B3),SAMPLE,0.00298,96.0,4.0,CO2,264.6,56.1621003,,,,,,3707.0,4288.0,5316.0,106.986,1.229,0.46,108.674,-32.361,,,,,Carbon,2024-11-22 14:34:14,98352.0,,,-32.215478087553855,0.10130449157179498
731,22813_d15N-d13C_CAK265_Common Shiner; muscle (B5)-0000.dxf,11/22/2024,14:52:44,94,Sample,CAK265_Common Shiner; muscle (B5),SAMPLE,0.00125,50.0,3.0,N2,156.8,9.6574422,4022.0,2996.0,101.819,0.758,14.452,,,,,,,102.577,,,,,,Nitrogen,2024-11-22 14:52:44,99462.0,14.85120802842323,0.22026396245977134,,
732,22813_d15N-d13C_CAK265_Common Shiner; muscle (B5)-0000.dxf,11/22/2024,14:52:44,94,Sample,CAK265_Common Shiner; muscle (B5),SAMPLE,0.00125,89.0,4.0,CO2,269.4,0.9810787,,,,,,7411.0,8601.0,10645.0,196.742,2.273,0.848,199.863,-26.264,,,,,Carbon,2024-11-22 14:52:44,99462.0,,,-26.115272353550417,0.10275298887288781
739,22814_d15N-d13C_CAK257_Spottail Shiner; muscle (B6)-0000.dxf,11/22/2024,15:01:59,95,Sample,CAK257_Spottail Shiner; muscle (B6),SAMPLE,0.00055,50.0,3.0,N2,157.2,11.6100489,1749.0,1301.0,46.392,0.344,11.681,,,,,,,46.736,,,,,,Nitrogen,2024-11-22 15:01:59,100017.0,12.085127385323988,0.22175338572851863,,
740,22814_d15N-d13C_CAK257_Spottail Shiner; muscle (B6)-0000.dxf,11/22/2024,15:01:59,95,Sample,CAK257_Spottail Shiner; muscle (B6),SAMPLE,0.00055,89.0,4.0,CO2,274.4,267.3289699,,,,,,3259.0,3778.0,4692.0,84.274,0.975,0.364,85.613,-25.162,,,,,Carbon,2024-11-22 15:01:59,100017.0,,,-25.011669486548698,0.10348130373044437
747,22815_d15N-d13C_CAK261_Sand Shiner; muscle (B7)-0000.dxf,11/22/2024,15:11:14,96,Sample,CAK261_Sand Shiner; muscle (B7),SAMPLE,0.0012,50.0,3.0,N2,156.5,9.8361231,3887.0,2893.0,98.647,0.733,12.752,,,,,,,99.38,,,,,,Nitrogen,2024-11-22 15:11:14,100572.0,13.16104674222475,0.22325093067346538,,
748,22815_d15N-d13C_CAK261_Sand Shiner; muscle (B7)-0000.dxf,11/22/2024,15:11:14,96,Sample,CAK261_Sand Shiner; muscle (B7),SAMPLE,0.0012,89.0,4.0,CO2,269.6,-0.2910148,,,,,,7138.0,8292.0,10259.0,188.765,2.184,0.814,191.763,-25.596,,,,,Carbon,2024-11-22 15:11:14,100572.0,,,-25.444066619546973,0.10421225368251871
774,22819_d15N-d13C_SORGHUM-0000.dxf,11/22/2024,15:48:15,100,Sample,SORGHUM,STANDARD,0.00175,0.0,3.0,N2,157.8,1.9239739,1578.0,1162.0,46.235,0.34,0.216,,,,,,,46.574,,,,,,Nitrogen,2024-11-22 15:48:15,102793.0,0.6447330335339181,0.22932189265055375,,
775,22819_d15N-d13C_SORGHUM-0000.dxf,11/22/2024,15:48:15,100,Sample,SORGHUM,STANDARD,0.00175,89.0,4.0,CO2,268.6,21.5022248,,,,,,8776.0,10310.0,12618.0,237.433,2.775,1.024,241.233,-14.636,,,,,Carbon,2024-11-22 15:48:15,102793.0,,,-14.477652263491438,0.10716266028968646
782,22820_d15N-d13C_WHEAT FLOUR-0000.dxf,11/22/2024,15:57:30,101,Sample,WHEAT FLOUR,STANDARD,0.00189,0.0,3.0,N2,157.8,2.2686732,2112.0,1558.0,59.841,0.44,2.637,,,,,,,60.281,,,,,,Nitrogen,2024-11-22 15:57:30,103348.0,3.0706523904346783,0.23085769241238074,,
783,22820_d15N-d13C_WHEAT FLOUR-0000.dxf,11/22/2024,15:57:30,101,Sample,WHEAT FLOUR,STANDARD,0.00189,89.0,4.0,CO2,267.7,34.5509348,,,,,,9396.0,10908.0,13507.0,253.67,2.929,1.094,257.693,-27.61,,,,,Carbon,2024-11-22 15:57:30,103348.0,,,-27.450049396489717,0.10790599028439925
790,22821_d15N-d13C_ACETANILIDE-0000.dxf,11/22/2024,16:06:46,102,Sample,ACETANILIDE,STANDARD,0.00065,0.0,3.0,N2,156.5,12.3835792,4544.0,3334.0,121.293,0.889,-1.28,,,,,,,122.182,,,,,,Nitrogen,2024-11-22 16:06:46,103904.0,-0.8414193889584339,0.2324034769558969,,
791,22821_d15N-d13C_ACETANILIDE-0000.dxf,11/22/2024,16:06:46,102,Sample,ACETANILIDE,STANDARD,0.00065,89.0,4.0,CO2,270.0,9.780286,,,,,,6242.0,7223.0,8979.0,163.994,1.891,0.708,166.593,-29.42,,,,,Carbon,2024-11-22 16:06:46,103904.0,,,-29.258443641439346,0.1086529899146063
798,22822_d15N-d13C_BL SEDIMENT-0000.dxf,11/22/2024,16:16:09,103,Sample,BL SEDIMENT,STANDARD,0.00887,0.0,3.0,N2,157.6,0.7766894,3854.0,2850.0,101.164,0.75,8.795,,,,,,,101.913,,,,,,Nitrogen,2024-11-22 16:16:09,104467.0,9.238570877591346,0.23397593746326195,,
799,22822_d15N-d13C_BL SEDIMENT-0000.dxf,11/22/2024,16:16:09,103,Sample,BL SEDIMENT,STANDARD,0.00887,89.0,4.0,CO2,269.6,4.0724451,,,,,,8652.0,10020.0,12439.0,236.441,2.725,1.02,240.186,-28.773,,,,,Carbon,2024-11-22 16:16:09,104467.0,,,-28.609817670048407,0.1094117219936163
