,FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD,Element Type,Datetime,Seconds Since Start,d 15N/14N_corr,d 15N/14N_se,d 13C/12C_corr,d 13C/12C_se
349,22762_d15N-d13C_MJS-24-011_Riparian Grass; leaf (G5)-0000.dxf,11/21/2024,19:02:13,43,Sample,MJS-24-011_Riparian Grass; leaf (G5),SAMPLE,0.00294,0.0,3.0,N2,158.0,1.9395642,3300.0,2445.0,81.726,0.607,9.741,,,,,,,82.333,,,,,,Nitrogen,2024-11-21 19:02:13,28031.0,9.50706463603006,0.17630623424545364,,
350,22762_d15N-d13C_MJS-24-011_Riparian Grass; leaf (G5)-0000.dxf,11/21/2024,19:02:13,43,Sample,MJS-24-011_Riparian Grass; leaf (G5),SAMPLE,0.00294,89.0,4.0,CO2,264.2,275.7084499,,,,,,14324.0,16666.0,20508.0,424.021,4.898,1.821,430.74,-26.719,,,,,Carbon,2024-11-21 19:02:13,28031.0,,,-26.776568556793578,0.06830391869553863
357,22763_d15N-d13C_MJS-24-011_Pondweed; leaf (G6)-0000.dxf,11/21/2024,19:11:29,44,Sample,MJS-24-011_Pondweed; leaf (G6),SAMPLE,0.00311,0.0,3.0,N2,157.4,3.7227014,7959.0,5865.0,192.09,1.416,2.778,,,,,,,193.507,,,,,,Nitrogen,2024-11-21 19:11:29,28587.0,2.548992856636949,0.17522503572825845,,
358,22763_d15N-d13C_MJS-24-011_Pondweed; leaf (G6)-0000.dxf,11/21/2024,19:11:29,44,Sample,MJS-24-011_Pondweed; leaf (G6),SAMPLE,0.00311,89.0,4.0,CO2,263.5,223.4008486,,,,,,14155.0,16372.0,20268.0,406.39,4.666,1.746,412.802,-32.866,,,,,Carbon,2024-11-21 19:11:29,28587.0,,,-32.921962801743206,0.06788446698924532
365,22764_d15N-d13C_MJS-24-011_Filamentous algae; all (G7)-0000.dxf,11/21/2024,19:20:44,45,Sample,MJS-24-011_Filamentous algae; all (G7),SAMPLE,0.003,0.0,3.0,N2,157.4,1.7958012,3092.0,2293.0,76.74,0.57,10.587,,,,,,,77.31,,,,,,Nitrogen,2024-11-21 19:20:44,29142.0,10.362912213537708,0.17416225753974404,,
366,22764_d15N-d13C_MJS-24-011_Filamentous algae; all (G7)-0000.dxf,11/21/2024,19:20:44,45,Sample,MJS-24-011_Filamentous algae; all (G7),SAMPLE,0.003,89.0,4.0,CO2,268.4,19.6173765,,,,,,9172.0,10655.0,13138.0,250.26,2.893,1.075,254.228,-25.969,,,,,Carbon,2024-11-21 19:20:44,29142.0,,,-26.023359934741485,0.06747511168136583
373,22765_d15N-d13C_MJS-24-012_Sedge; leaf (G8)-0000.dxf,11/21/2024,19:30:01,46,Sample,MJS-24-012_Sedge; leaf (G8),SAMPLE,0.00274,0.0,3.0,N2,157.4,3.2062543,5562.0,4134.0,134.713,1.003,12.226,,,,,,,135.716,,,,,,Nitrogen,2024-11-21 19:30:01,29699.0,12.006849297850724,0.17311250486201044,,
374,22765_d15N-d13C_MJS-24-012_Sedge; leaf (G8)-0000.dxf,11/21/2024,19:30:01,46,Sample,MJS-24-012_Sedge; leaf (G8),SAMPLE,0.00274,89.0,4.0,CO2,263.8,253.5759684,,,,,,14068.0,16317.0,20145.0,406.381,4.679,1.746,412.805,-29.969,,,,,Carbon,2024-11-21 19:30:01,29699.0,,,-30.02175129164246,0.06707383743477592
381,22766_d15N-d13C_MJS-24-012_Aquatic Coontail; leaf (G9)-0000.dxf,11/21/2024,19:39:17,47,Sample,MJS-24-012_Aquatic Coontail; leaf (G9),SAMPLE,0.00262,0.0,3.0,N2,157.4,1.5484298,2240.0,1664.0,56.379,0.42,12.899,,,,,,,56.799,,,,,,Nitrogen,2024-11-21 19:39:17,30255.0,12.684777518457611,0.17208178468702906,,
382,22766_d15N-d13C_MJS-24-012_Aquatic Coontail; leaf (G9)-0000.dxf,11/21/2024,19:39:17,47,Sample,MJS-24-012_Aquatic Coontail; leaf (G9),SAMPLE,0.00262,89.0,4.0,CO2,272.1,5.4120557,,,,,,5825.0,6727.0,8351.0,153.843,1.77,0.661,156.275,-30.672,,,,,Carbon,2024-11-21 19:39:17,30255.0,,,-30.723145536592085,0.0666830032976348
