,FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD,Element Type,Datetime,Seconds Since Start,d 15N/14N_corr,d 15N/14N_se,d 13C/12C_corr,d 13C/12C_se,d15N(AIR) value,VPDB_d15N/14N,VPDB_d15N/14N_diff,VPDB_d15N/14N_se,d13C(VPDB) value,VPDB_d13C/12C,VPDB_d13C/12C_diff,VPDB_d13C/12C_se,sum_squared_error
222,22746_d15N-d13C_MJS-24-005_Maple; leaf (F3)-0000.dxf,11/21/2024,16:33:55,27,Sample,MJS-24-005_Maple; leaf (F3),SAMPLE,0.0028,89.0,4.0,CO2,263.3,338.8137283,,,,,,14990.0,17413.0,21497.0,443.505,5.116,1.908,450.529,-29.869,,,,,Carbon,2024-11-21 16:33:55,19133.0,,,-29.952266413696854,0.07615432250609457,,,,,,-29.448138887460637,-7.305238887460639,0.034107875373631476,0.08344356175802563
221,22746_d15N-d13C_MJS-24-005_Maple; leaf (F3)-0000.dxf,11/21/2024,16:33:55,27,Sample,MJS-24-005_Maple; leaf (F3),SAMPLE,0.0028,0.0,3.0,N2,158.2,2.413868,3943.0,2913.0,98.978,0.731,5.562,,,,,,,99.709,,,,,,Nitrogen,2024-11-21 16:33:55,19133.0,5.249195378907602,0.19562071950198975,,,,5.3852698036228475,3.603069803622847,0.37755838576276557,,,,,0.4252267636899887
229,22747_d15N-d13C_MJS-24-005_Water Moss; all (F4)-0000.dxf,11/21/2024,16:43:11,28,Sample,MJS-24-005_Water Moss; all (F4),SAMPLE,0.00258,0.0,3.0,N2,157.2,2.3187445,3496.0,2609.0,86.213,0.644,16.421,,,,,,,86.857,,,,,,Nitrogen,2024-11-21 16:43:11,19689.0,16.113123599514488,0.19431388970577199,,,,15.697762936512252,13.915562936512252,1.2210672731375876,,,,,1.2364316290277642
230,22747_d15N-d13C_MJS-24-005_Water Moss; all (F4)-0000.dxf,11/21/2024,16:43:11,28,Sample,MJS-24-005_Water Moss; all (F4),SAMPLE,0.00258,89.0,4.0,CO2,266.3,56.2326957,,,,,,10536.0,12104.0,15113.0,286.779,3.275,1.234,291.288,-39.269,,,,,Carbon,2024-11-21 16:43:11,19689.0,,,-39.350660658646476,0.07560751359911878,,,,,,-38.98514137754272,-16.84224137754272,0.06069939763848266,0.09695830540142276
238,22748_d15N-d13C_MJS-24-005_Black Walnut; leaf (F5)-0000.dxf,11/21/2024,16:52:27,29,Sample,MJS-24-005_Black Walnut; leaf (F5),SAMPLE,0.00259,89.0,4.0,CO2,264.8,194.2845912,,,,,,13173.0,15254.0,18893.0,373.555,4.295,1.607,379.457,-31.972,,,,,Carbon,2024-11-21 16:52:27,20245.0,,,-32.05205490359611,0.07506748492318373,,,,,,-31.578895220392294,-9.435995220392297,0.03954805752775726,0.08484795900262548
237,22748_d15N-d13C_MJS-24-005_Black Walnut; leaf (F5)-0000.dxf,11/21/2024,16:52:27,29,Sample,MJS-24-005_Black Walnut; leaf (F5),SAMPLE,0.00259,0.0,3.0,N2,157.8,2.2653746,3380.0,2499.0,84.367,0.625,7.19,,,,,,,84.992,,,,,,Nitrogen,2024-11-21 16:52:27,20245.0,6.8870518201213775,0.19301917440970287,,,,6.93999135182286,5.157791351822859,0.49686260420209083,,,,,0.5330373806256807
245,22749_d15N-d13C_MJS-24-005_Riverbank Grape; leaf (F6)-0000.dxf,11/21/2024,17:01:43,30,Sample,MJS-24-005_Riverbank Grape; leaf (F6),SAMPLE,0.00263,0.0,3.0,N2,157.6,2.5556084,3992.0,2951.0,98.348,0.727,5.878,,,,,,,99.076,,,,,,Nitrogen,2024-11-21 17:01:43,20801.0,5.579980040728265,0.19173681902578138,,,,5.699264381295064,3.917064381295064,0.40098330451440656,,,,,0.4444666672197349
246,22749_d15N-d13C_MJS-24-005_Riverbank Grape; leaf (F6)-0000.dxf,11/21/2024,17:01:43,30,Sample,MJS-24-005_Riverbank Grape; leaf (F6),SAMPLE,0.00263,89.0,4.0,CO2,263.8,253.437385,,,,,,13920.0,16164.0,19958.0,401.846,4.632,1.728,408.206,-29.384,,,,,Carbon,2024-11-21 17:01:43,20801.0,,,-29.462449148545737,0.07453438385414286,,,,,,-28.951097759403932,-6.808197759403935,0.032913973216554614,0.08147824255233287
254,22750_d15N-d13C_MJS-24-005_Curly-leaf Pondweed; leaf (F7)-0000.dxf,11/21/2024,17:10:59,31,Sample,MJS-24-005_Curly-leaf Pondweed; leaf (F7),SAMPLE,0.00291,89.0,4.0,CO2,264.0,187.5231567,,,,,,13486.0,15669.0,19333.0,381.299,4.398,1.64,387.337,-28.492,,,,,Carbon,2024-11-21 17:10:59,21357.0,,,-28.568843393495364,0.07400836009609875,,,,,,-28.044313037572678,-5.901413037572681,0.030829546820579014,0.08017292760824002
253,22750_d15N-d13C_MJS-24-005_Curly-leaf Pondweed; leaf (F7)-0000.dxf,11/21/2024,17:10:59,31,Sample,MJS-24-005_Curly-leaf Pondweed; leaf (F7),SAMPLE,0.00291,0.0,3.0,N2,158.8,3.1285628,5485.0,4092.0,140.717,1.051,15.529,,,,,,,141.767,,,,,,Nitrogen,2024-11-21 17:10:59,21357.0,15.235908261335153,0.19046707320046893,,,,14.865073602843744,13.082873602843744,1.1509755871633915,,,,,1.1666286933809176
262,22751_d15N-d13C_MJS-24-005_Silky Dogwood; leaf (F8)-0000.dxf,11/21/2024,17:20:15,32,Sample,MJS-24-005_Silky Dogwood; leaf (F8),SAMPLE,0.00268,89.0,4.0,CO2,264.2,332.9568582,,,,,,14716.0,17052.0,21093.0,435.755,5.012,1.873,442.64,-31.292,,,,,Carbon,2024-11-21 17:20:15,21913.0,,,-31.36723763844499,0.07348956562318046,,,,,,-30.883978217255617,-8.74107821725562,0.03772383180522161,0.08260631780652371
261,22751_d15N-d13C_MJS-24-005_Silky Dogwood; leaf (F8)-0000.dxf,11/21/2024,17:20:15,32,Sample,MJS-24-005_Silky Dogwood; leaf (F8),SAMPLE,0.00268,0.0,3.0,N2,158.2,2.1500412,3267.0,2427.0,82.679,0.615,11.743,,,,,,,83.294,,,,,,Nitrogen,2024-11-21 17:20:15,21913.0,11.45483648194204,0.1892101907934293,,,,11.275922794023765,9.493722794023766,0.850571607766078,,,,,0.8713624712126733
